t,Re<C_aa>,Im<C_aa>,|C_aa|,|C_aa|^2,Re<C_ab>,Im<C_ab>,|C_ab|,|C_ab|^2
752.4,-0.0357303803,-0.0032812175,0.0358807256,0.00128742647,-0.00788961204,-0.00165277074,0.00806087025,6.49776292e-05
756,0.0178925706,0.0397126884,0.0435573381,0.00189724171,-0.00391892965,0.0063007953,0.0074201099,5.5058031e-05
759.6,0.0485695191,-0.0328049975,0.0586102896,0.00343516605,0.00443541685,0.00313155205,0.00542950651,2.94795409e-05
763.2,-0.0390677695,-0.0573431738,0.0693868157,0.00481453019,0.000485489019,-0.00228702688,0.00233798878,5.46619156e-06
766.8,-0.0590480791,0.0444821381,0.0739279126,0.00546533625,-0.0047150798,6.43988754e-05,0.00471551956,2.22361247e-05
770.4,0.0606322437,0.0627574258,0.0872626121,0.00761476347,-0.000990150065,0.00670510056,0.0067778146,4.59387707e-05
774,0.0845884538,-0.0791651824,0.115854791,0.0134223326,0.00520183238,0.00387949578,0.00648918698,4.21095477e-05
777.6,-0.0785271185,-0.122408149,0.145431301,0.0211502633,0.00469610165,-0.0037719961,0.00602339816,3.62813254e-05
781.2,-0.153175319,0.049501334,0.160975341,0.0259130603,-0.000637490697,-0.00151613627,0.00164470774,2.70506357e-06
784.8,0.0112010573,0.155368837,0.155772075,0.0242649393,0.00166968458,0.000627266783,0.00178362278,3.18131021e-06
788.4,0.138963541,0.00968910371,0.139300913,0.0194047444,0.00377705927,-0.00329824724,0.00501444031,2.51446116e-05
792,0.0147448356,-0.1258685,0.126729198,0.0160602896,-0.0019885524,-0.00399901418,0.00446614543,1.9946455e-05
795.6,-0.115356324,-0.0185574909,0.116839471,0.013651462,-0.00332687371,-9.93269126e-05,0.00332835613,1.10779545e-05
799.2,-0.0219671812,0.100159773,0.102540418,0.0105145372,0.000696367542,0.00184270535,0.00196989612,3.88049074e-06
802.8,0.0805441442,0.0232184895,0.0838239668,0.00702645741,0.000534774084,-0.00338240258,0.00342441681,1.17266305e-05
